sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,sinArtefactosEstricto,smote,RandomForest,pull,0.5938,0.5429,32,True
211260561,all,sinArtefactosEstricto,smote,RandomForest,push,0.7619,0.7111,84,False
211260561,all,sinArtefactosEstricto,smote,RandomForest,right,0.3448,0.5714,58,False
211260561,all,sinArtefactosEstricto,smote,MLP,left,0.8,0.7742,120,False
211260561,all,sinArtefactosEstricto,smote,MLP,pull,0.5938,0.5588,32,True
211260561,all,sinArtefactosEstricto,smote,MLP,push,0.7024,0.6413,84,False
211260561,all,sinArtefactosEstricto,smote,MLP,right,0.5172,0.6818,58,False
211260561,all,sinArtefactosEstricto,smote,IBk_kNN,left,0.6917,0.8384,120,False
211260561,all,sinArtefactosEstricto,smote,IBk_kNN,pull,0.6562,0.5,32,True
211260561,all,sinArtefactosEstricto,smote,IBk_kNN,push,0.75,0.6774,84,False
211260561,all,sinArtefactosEstricto,smote,IBk_kNN,right,0.4655,0.45,58,False
211260561,all,sinArtefactosEstricto,smote,RBFNetwork_aprox,left,0.8333,0.7092,120,False
211260561,all,sinArtefactosEstricto,smote,RBFNetwork_aprox,pull,0.4375,0.5385,32,True
